document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt,agency_code_x,agency_name_x,agency_code_y,agency_name_y,agency_code,agency_name
2021-05-25,DCM10737114,CIOX HEALTH LLC,12115581,01,2021-05-28,650058,35.0,19.0,HUMAN SERVICES,,,,
2021-05-17,162115366,SIOUX FALLS UTILITIES,12055054,06,2021-05-28,649950,118.8,16.0,MILITARY,,,,
2021-05-17,1554,A & J SUPPLY LLC,12144197,,2021-05-28,649556,1395.68,11.0,TRANSPORTATION,,,,
2021-05-18,6863345,DAKOTA FLUID POWER INC,12044237,,2021-05-28,649822,363.0,11.0,TRANSPORTATION,,,,
2021-05-18,INV40045,DRUM CORPORATION,12040346,,2021-05-28,649666,47.28,11.0,TRANSPORTATION,,,,
2021-05-19,330987,MIDWEST CONNECT LLC,12561407,,2021-05-28,650246,565.0,8.0,SOCIAL SERVICES,,,,
2021-05-19,01-127029,PFEIFER IMPLEMENT CO INC,12030266,,2021-05-28,649685,145.6,11.0,TRANSPORTATION,,,,
2021-05-26,0111060,FINANCIAL ACCOUNTING FOUNDATN,12012678,,2021-05-28,650208,1992.0,11.0,BUREAU OF FINANCE & MANAGEMENT,,,,
2021-04-28,126692,BLACKSTRAP INC,12241692,,2021-05-28,649587,2142.7,11.0,TRANSPORTATION,,,,
2021-04-28,126693,BLACKSTRAP INC,12241692,,2021-05-28,649725,2138.91,11.0,TRANSPORTATION,,,,
2021-04-20,042021,VNDR   12205494,12205494,,2021-05-28,649433,6629.47,10.0,LABOR AND REGULATION,,,,
2021-05-03,0344287-IN,STERN OIL COMPANY INC,12036633,,2021-05-28,649335,45.56,6.0,"GAME, FISH AND PARKS",,,,
2021-05-17,17979,STERN OIL COMPANY INC,12036633,,2021-05-28,649655,1963.2,11.0,TRANSPORTATION,,,,
2021-04-30,12456,RIVERS EDGE COOPERATIVE,12028788,,2021-05-28,649716,6.0,11.0,TRANSPORTATION,,,,
2021-05-18,7270613717,MCKESSON CORPORATION,12125822,,2021-05-28,649928,256.28,17.0,VETERANS' AFFAIRS,,,,
2021-04-28,298561/2,AUTO BODY SPECIALTIES INC,12039152,,2021-05-28,649993,475.11,18.0,CORRECTIONS,,,,
2021-04-30,IN/3357160,EVENFLO COMPANY INC,12014612,,2021-05-28,648996,968.72,8.0,SOCIAL SERVICES,,,,
2021-05-18,C261279830:01,I STATE TRUCK INC,12291406,,2021-05-28,649662,584.29,11.0,TRANSPORTATION,,,,
2021-04-26,156958,BAUMANN LUMBER INC,12014081,,2021-05-28,649841,331.0,11.0,TRANSPORTATION,,,,
2021-04-26,126643,BLACKSTRAP INC,12241692,,2021-05-28,649588,2260.21,11.0,TRANSPORTATION,,,,
2021-05-05,35662679,GEN-PROBE SALES AND SERVICE,12015394,,2021-05-28,649110A,5625.0,9.0,HEALTH,,,,
2021-05-24,24703-0621,ROBINS WATER CONDITIONING INC,12043312,,2021-05-28,650215,15.5,12.0,BUREAU OF ADMINISTRATION,,,,
2021-05-26,051921CON210727,MICRO-FIX INC,12040961,,2021-05-28,650096,324.0,9.0,HEALTH,,,,
2021-05-26,0521CON210140,"AMUNDSON, DENISE M",12106346,,2021-05-28,650094,2380.8,9.0,HEALTH,,,,
2021-04-13,326556,FARNAMS GENUINE PARTS INC,12022095,,2021-05-28,649862,38.94,11.0,TRANSPORTATION,,,,
2021-05-18,7270605794,MCKESSON CORPORATION,12125822,,2021-05-28,649926,5059.41,17.0,VETERANS' AFFAIRS,,,,
2021-04-01,0003848388,MULTIMEDIA HOLDINGS CORP,12114857,08,2021-05-28,649971,123.99,16.0,MILITARY,,,,
2020-06-23,SC12120A340-2021,TRISTAR PROPERTIES LLC,12142245,,2021-05-28,400648,800.0,12.0,EDUCATION,,,,
2021-05-20,650578,DUDLEY LAUNDRY CO,12057489,,2021-05-28,649683,59.23,11.0,TRANSPORTATION,,,,
2021-05-18,6863340,DAKOTA FLUID POWER INC,12044237,,2021-05-28,649816,596.01,11.0,TRANSPORTATION,,,,
2021-05-18,6863343,DAKOTA FLUID POWER INC,12044237,,2021-05-28,649820,539.93,11.0,TRANSPORTATION,,,,
2021-05-12,RC0001392787-001,DENNIS SUPPLY COMPANY,12024632,,2021-05-28,649923,164.3,17.0,VETERANS' AFFAIRS,,,,
2021-05-14,5495386,PARMED PHARMACEUTICALS INC,12433590,,2021-05-28,649937,272.34,17.0,VETERANS' AFFAIRS,,,,
2021-05-17,308013829,HEALTH CARE LOGISTICS INC,12014429,,2021-05-28,649924,149.5,17.0,VETERANS' AFFAIRS,,,,
