document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt,agency_code_x,agency_name_x,agency_code_y,agency_name_y,agency_code,agency_name
2021-03-31,M01CRF210330,VNDR   12636420,12636420,CV,2021-03-31,M609544,93744.0,11.0,BUREAU OF FINANCE & MANAGEMENT,,,,
2021-03-25,M1411100,METRO COMMUNICATIONS,12183000,,2021-03-31,M608135,25222.68,14.0,PUBLIC SAFETY,,,,
2021-03-26,210011CLEX175768,PARAMEDICS PLUS LLC,12517029,,2021-03-31,608203,134.02,14.0,PUBLIC SAFETY,,,,
2021-03-25,M1411100,SULLY COUNTY AUDITOR,12054933,07,2021-03-31,M608135,1489.83,14.0,PUBLIC SAFETY,,,,
2021-03-17,0459843,SUDS & DUDS INC,12049672,,2021-03-31,608176,8.83,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2021-03-25,M1411100,PENNINGTON COUNTY ESCC,12055008,A1,2021-03-31,M608135,13813.09,14.0,PUBLIC SAFETY,,,,
2021-03-25,M1411100,PENNINGTON COUNTY AUDITOR,12055008,09,2021-03-31,M608135,90661.08,14.0,PUBLIC SAFETY,,,,
2021-03-25,M1411100,JERAULD COUNTY AUDITOR,12055226,04,2021-03-31,M608135,1779.99,14.0,PUBLIC SAFETY,,,,
2021-02-12,21SC08A305-JAN27,AVERA MCKENNAN,12029758,86,2021-03-31,607989,1400.0,8.0,SOCIAL SERVICES,,,,
2021-03-25,M1411100,MCPHERSON COUNTY AUDITOR,12054791,01,2021-03-31,M608135,2061.16,14.0,PUBLIC SAFETY,,,,
2021-03-25,M1411100,WALWORTH COUNTY AUDITOR,12055051,03,2021-03-31,M608135,4768.44,14.0,PUBLIC SAFETY,,,,
2021-03-26,802,"CASTRO, BRISNA Y",12656670,,2021-03-31,608743,705.21,9.0,HEALTH,,,,
2021-03-29,1788237,PRESTO-X-COMPANY,12057714,01,2021-03-31,608184,448.0,8.0,SOCIAL SERVICES,,,,
2021-03-25,M1411100,SANBORN COUNTY- AUDITOR,12055281,01,2021-03-31,M608135,2153.42,14.0,PUBLIC SAFETY,,,,
2020-11-09,WDMA2020,VNDR   12408773,12408773,,2021-03-31,609208,5000.0,6.0,"GAME, FISH AND PARKS",,,,
2021-03-24,DCC339172,ALLIED ASSESSMENTS INC,12174710,,2021-03-31,607629,641.55,19.0,HUMAN SERVICES,,,,
2021-03-24,DCC361713,ALLIED ASSESSMENTS INC,12174710,,2021-03-31,607633,50.0,19.0,HUMAN SERVICES,,,,
2021-03-24,33037 & 33038,FRIMAN OIL & GAS INC,12045142,,2021-03-31,609221,596.75,6.0,"GAME, FISH AND PARKS",,,,
2021-03-24,376433,NORTHWEST PIPE FITTINGS HURON,12031253,,2021-03-31,609218,42.53,6.0,"GAME, FISH AND PARKS",,,,
2020-07-01,0601-449-80 FY21,"DAWSON, DAVID R",12102813,,2021-03-31,410592,300.15,6.0,"GAME, FISH AND PARKS",,,,
2021-03-25,M1411100,WINNER CITY POLICE DEPT,12055263,03,2021-03-31,M608135,2500.66,14.0,PUBLIC SAFETY,,,,
2021-03-12,031221 TWT,PENNINGTON COUNTY SHERIFF,12055008,03,2021-03-31,609306,22.58,10.0,LABOR AND REGULATION,,,,
2020-08-17,RX1216838,LEWIS DRUGS-EASTGATE 3,12029381,01,2021-03-31,607944,39.3,8.0,SOCIAL SERVICES,,,,
2021-03-26,5085,MISSOURI RIVERS EDGE LLC,12159033,,2021-03-31,608206,77.0,14.0,PUBLIC SAFETY,,,,
2021-03-30,AR99687,VOICE PRODUCTS INC,12600773,,2021-03-31,609278,1077.0,8.0,SOCIAL SERVICES,,,,
2021-03-25,32-804544,APH STORES INC,12558584,,2021-03-31,608342,4.84,6.0,"GAME, FISH AND PARKS",,,,
2020-07-01,0601-449-66 FY21,BROOKINGS COUNTY TREASURER,12054342,,2021-03-31,400012,1000.0,6.0,"GAME, FISH AND PARKS",,,,
2021-03-02,21SC08A305-JAN31,AVERA MCKENNAN,12029758,86,2021-03-31,607993,2100.0,8.0,SOCIAL SERVICES,,,,
2021-03-25,202103FST,BDM RURAL WATER SYSTEM,12017530,,2021-03-31,609196,66.5,6.0,"GAME, FISH AND PARKS",,,,
2020-07-01,0601-449-80 FY21,"DORNBUSCH, ARMOND",12332094,,2021-03-31,410591,300.15,6.0,"GAME, FISH AND PARKS",,,,
2021-03-10,IN3287471,INNOVATIVE OFFICE SOLUTIONS,12550348,,2021-03-31,609325,74.25,10.0,LABOR AND REGULATION,,,,
2021-03-19,180804,W W TIRE SERVICE INC,12037797,,2021-03-31,608358,80.25,11.0,TRANSPORTATION,,,,
2020-05-29,0529,MINNEHAHA COMMUNITY WATER CORP,12033307,,2021-03-31,608295,10.25,6.0,"GAME, FISH AND PARKS",,,,
2020-11-30,34107,BANNER & ASSOCIATES INC,12120999,01,2021-03-31,608522,3572.65,11.0,TRANSPORTATION,,,,
2021-03-29,0634604,DUDLEY LAUNDRY CO,12057489,,2021-03-31,608786,27.3,8.0,SOCIAL SERVICES,,,,
2021-03-24,OAKPF0321,KINGBROOK RURAL WATER SYSTEM,12033727,01,2021-03-31,609188,36.0,6.0,"GAME, FISH AND PARKS",,,,
2020-07-01,0601-449-71 FY21,BENNETT COUNTY TREASURER,12054828,01,2021-03-31,400015,400.0,6.0,"GAME, FISH AND PARKS",,,,
2021-03-03,722237883,NORTHERN STATES POWER COMPANY,12023853,,2021-03-31,601661,661.42,14.0,PUBLIC SAFETY,,,,
2021-03-20,156267,JONES ACE HARDWARE,12119527,,2021-03-31,609191,40.0,6.0,"GAME, FISH AND PARKS",,,,
2021-03-26,0321CON210210,COMMUNITY CLEANING INC,12010052,,2021-03-31,609028,287.0,9.0,HEALTH,,,,
2021-03-25,M1411100,HURON - CITY OF,12054683,,2021-03-31,M608135,3443.82,14.0,PUBLIC SAFETY,,,,
2020-08-21,21SC08A305-JY103,AVERA MCKENNAN,12029758,86,2021-03-31,607983,84.42,8.0,SOCIAL SERVICES,,,,
2021-03-19,17241,RADHA INC,12051715,01,2021-03-31,608194,77.0,14.0,PUBLIC SAFETY,,,,
2021-03-19,IN819084,A & B BUSINESS INC,12036980,,2021-03-31,609319,351.76,10.0,LABOR AND REGULATION,,,,
2021-03-30,0462306,HP INC,12125515,11,2021-03-31,608947,230.14,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2021-03-16,DSR4469 PW145,CODINGTON COUNTY AUDITOR,12055190,03,2021-03-31,608197,439722.57,14.0,PUBLIC SAFETY,,,,
2021-03-17,8118781020,CITY OF ABERDEEN,12054223,12,2021-03-31,609565,46934.36,11.0,TRANSPORTATION,,,,
2021-03-19,IN819083,A & B BUSINESS INC,12036980,,2021-03-31,609320,90.32,10.0,LABOR AND REGULATION,,,,
2021-03-10,176417,ALFRED BENESCH AND COMPANY,12535038,,2021-03-31,608530,7655.41,11.0,TRANSPORTATION,,,,
2021-03-24,082102912,"WALZ, CARMEN K",12611270,,2021-03-31,608744,290.1,19.0,HUMAN SERVICES,,,,
2021-03-22,4165335,ECOLAB PEST ELIMINATION DIV,12020864,,2021-03-31,609290,89.55,10.0,LABOR AND REGULATION,,,,
2021-03-01,461432,HP INC,12125515,11,2021-03-31,609119,132.08,288.0,LEGISLATIVE AUDIT,,,,
2021-03-30,16634,HOVEN MEDIA INC,12229427,,2021-03-31,608905,40.01,30.0,SCHOOL & PUBLIC LANDS,,,,
2021-03-29,21SC08E633-FEB,COMMUNITY HEALTHCARE ASSOC,12017614,,2021-03-31,608984,435.32,8.0,SOCIAL SERVICES,,,,
2021-03-16,459840,SUDS & DUDS INC,12049672,,2021-03-31,608962,5.91,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2021-02-10,FEBRUARY21,SANFORD CLINIC,12049751,A4,2021-03-31,601524,75.0,9.0,HEALTH,,,,
2021-03-24,1353909,GROSSENBURG IMPLEMENT INC,12033459,,2021-03-31,608401,37.04,11.0,TRANSPORTATION,,,,
2021-03-24,1354020,GROSSENBURG IMPLEMENT INC,12033459,,2021-03-31,608402,35.82,11.0,TRANSPORTATION,,,,
2021-03-19,559612,CENTURY BUSINESS PRODUCTS INC,12039139,,2021-03-31,608178,186.16,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2021-03-05,9712460,SIOUX FALLS UTILITIES,12055054,06,2021-03-31,601660,83.28,14.0,PUBLIC SAFETY,,,,
2021-03-10,55590,MAIN & MAIN LLC,12156160,05,2021-03-31,605224,75.0,14.0,PUBLIC SAFETY,,,,
2021-03-13,43081,H&H REPAIR INC,12305289,,2021-03-31,608559,578.06,12.0,BUREAU OF ADMINISTRATION,,,,
2021-03-25,755249,BROWN COUNTY LANDFILL,12054226,14,2021-03-31,608268,4.78,6.0,"GAME, FISH AND PARKS",,,,
2021-03-25,07KT-01,BITUMINOUS PAVING INC,12022046,,2021-03-31,609590,40750.0,11.0,TRANSPORTATION,,,,
2021-03-25,31341,JC PRINTING INC,12124414,01,2021-03-31,608964,9.28,3.0,AGRICULTURE & NAT. RESOURCES,,,,
2021-03-23,K61192,NYBERGS ACE HARDWARE INC,12032400,,2021-03-31,608283,215.91,6.0,"GAME, FISH AND PARKS",,,,
2021-03-24,211555868,CENTURYLINKCOMM,12188416,03,2021-03-31,609201,8.92,6.0,"GAME, FISH AND PARKS",,,,
2021-03-25,M1411100,HAMLIN COUNTY AUDITOR,12054615,07,2021-03-31,M608135,4476.59,14.0,PUBLIC SAFETY,,,,
2020-08-18,21SC08A305-JY102,AVERA MCKENNAN,12029758,86,2021-03-31,607982,73.67,8.0,SOCIAL SERVICES,,,,
2021-03-25,M1411100,HAAKON COUNTY,12054961,03,2021-03-31,M608135,2017.55,14.0,PUBLIC SAFETY,,,,
2021-03-25,M1411100,GREGORY COUNTY TREASURER,12054356,05,2021-03-31,M608135,4365.24,14.0,PUBLIC SAFETY,,,,
2021-03-25,M1411100,BRULE COUNTY AUDITOR,12054398,02,2021-03-31,M608135,4917.55,14.0,PUBLIC SAFETY,,,,
2021-03-08,9006035792,ACUITY SPECIALTY PRODUCTS,12140663,,2021-03-31,609422,243.96,11.0,TRANSPORTATION,,,,
2021-03-25,M1411100,BROWN COUNTY,12054226,06,2021-03-31,M608135,34242.29,14.0,PUBLIC SAFETY,,,,
2021-03-17,INV0134783,MILLBORN SEEDS INC,12041330,,2021-03-31,608324,5500.88,6.0,"GAME, FISH AND PARKS",,,,
2021-03-24,176322,FOREST PRODUCTS DISTRIBUTORS,12038383,,2021-03-31,608336,1138.96,6.0,"GAME, FISH AND PARKS",,,,
2021-03-23,DSR4440 PW1428,SANBORN COUNTY- AUDITOR,12055281,01,2021-03-31,608199,196062.18,14.0,PUBLIC SAFETY,,,,
2021-03-29,21SC082608-NOV,RURAL OFFICE OF COMM SRVCS,12037800,01,2021-03-31,608991,34934.31,8.0,SOCIAL SERVICES,,,,
2021-03-18,56758,JAMES A HEIL,12014077,,2021-03-31,608323,57.95,6.0,"GAME, FISH AND PARKS",,,,
