document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt,agency_code_x,agency_name_x,agency_code_y,agency_name_y,agency_code,agency_name
2020-10-15,SFY21 RENT 11-07,J AND S LLC,12184895,,2021-06-25,492441,16666.21,8.0,SOCIAL SERVICES,,,,
2020-07-08,BOTPRENTJULY2021,CLOCK TOWER OFFICE PLAZA,12371647,,2021-06-25,407013,2250.0,10.0,LABOR AND REGULATION,,,,
2020-09-15,21I006SEP-JUN21,SUNSET OFFICE CLEANING INC,12627537,,2021-06-25,466618,142.46,10.0,LABOR AND REGULATION,,,,
2021-06-20,M1210341,WATERTOWN SCHOOL DISTRICT 14-4,12055437,08,2021-06-25,M671613,1207406.0,12.0,EDUCATION,,,,
2021-06-20,M1210341,ANDES CENTRAL SCHOOL,12055395,02,2021-06-25,M671613,120051.0,12.0,EDUCATION,,,,
2021-06-20,M1210341,SIOUX VALLEY SCHOOL DISTRICT,12031449,02,2021-06-25,M671613,233674.0,12.0,EDUCATION,,,,
2021-06-20,M1210341,DEUBROOK AREA SCHOOL DISTRICT,12043962,01,2021-06-25,M671613,90258.0,12.0,EDUCATION,,,,
2021-06-20,M1210341,WILLOW LAKE SCHOOL DIST 12-3,12031484,01,2021-06-25,M671613,74298.0,12.0,EDUCATION,,,,
2021-01-19,SFY21 RENT 2-7,THE LAKOTA FUND INC,12210176,,2021-06-25,564227,879.11,9.0,HEALTH,,,,
2021-06-01,605E34-5286 0621,CENTURYLINK COMMUNICATIONS LLC,12188416,,2021-06-25,659652,468.0,10.0,LABOR AND REGULATION,,,,
2021-06-01,VERMRENTJULY2021,COMMERCE PROPERTIES LLC,12532325,,2021-06-25,654519,2778.2,10.0,LABOR AND REGULATION,,,,
2021-06-09,162115903,BLACK HILLS POWER & LIGHT CO,12028526,,2021-06-25,671078,92.92,16.0,MILITARY,,,,
2020-10-15,SFY21 RENT 11-07,DEN-WIL INVESTMENTS INC,12025145,,2021-06-25,492445,4381.91,8.0,SOCIAL SERVICES,,,,
2020-07-14,SFY21 RENT 8-7,"MCLAURY, KIM L",12094055,,2021-06-25,413933,775.0,8.0,SOCIAL SERVICES,,,,
2021-06-15,02700,MENARDS,12019798,06,2021-06-25,671192,74.97,16.0,MILITARY,,,,
2020-07-08,ACCOUNTRENT20-21,"MCGINNIS, RODNEY",12074040,,2021-06-25,407016,1380.75,10.0,LABOR AND REGULATION,,,,
2021-06-20,M1210341,REDFIELD PUBLIC SCHOOL,12055809,03,2021-06-25,M671613,151785.0,12.0,EDUCATION,,,,
2021-06-20,M1210341,WEST CENTRAL SCHOOL DIST 49-7,12031968,01,2021-06-25,M671613,481939.0,12.0,EDUCATION,,,,
2021-02-12,SFY21 RENT 03-07,ODLAND PROPERTIES LLC,12010445,,2021-06-25,587567,7646.56,8.0,SOCIAL SERVICES,,,,
2021-06-20,M1210341,WALL SCHOOL DISTRICT 51-5,12055765,01,2021-06-25,M671613,96587.0,12.0,EDUCATION,,,,
2021-06-20,M1210341,OELRICHS SCHOOL DISTRICT 23-3,12056160,01,2021-06-25,M671613,66976.0,12.0,EDUCATION,,,,
2021-06-03,DL11592,WEST RIVER FOUNDATION,12017568,02,2021-06-25,671632A,187.18,19.0,HUMAN SERVICES,,,,
2021-06-20,M1210341,HOWARD SCHOOL DISTRICT 48-3,12055714,01,2021-06-25,M671613,44272.0,12.0,EDUCATION,,,,
2021-06-20,M1210341,LEAD-DEADWOOD SCHOOL DIST 40-1,12031442,02,2021-06-25,M671613,21854.0,12.0,EDUCATION,,,,
2021-06-08,IN3375875,INNOVATIVE OFFICE SOLUTIONS,12550348,,2021-06-25,671071,335.74,16.0,MILITARY,,,,
2021-06-20,M1210341,IRENE-WAKONDA SCHOOL DIST,12119000,01,2021-06-25,M671613,85976.0,12.0,EDUCATION,,,,
2021-06-10,7275135306,MCKESSON CORPORATION,12125822,,2021-06-25,671182,4165.24,17.0,VETERANS' AFFAIRS,,,,
2021-06-10,7275124538,MCKESSON CORPORATION,12125822,,2021-06-25,671185,4.25,17.0,VETERANS' AFFAIRS,,,,
2021-06-12,04WO0298768,BUTLER MACHINERY CO,12027105,,2021-06-25,671080,350.0,16.0,MILITARY,,,,
2021-02-24,57562,"HENKE, KENNETH J",12308954,,2021-06-25,663618,354.99,11.0,TRANSPORTATION,,,,
2021-06-20,M1210341,MADISON CENTRAL SCHOOL,12031301,03,2021-06-25,M671613,246659.0,12.0,EDUCATION,,,,
2020-07-27,21I023JULY-JUN21,ALYSSA PAHL,12565107,01,2021-06-25,420895,845.74,10.0,LABOR AND REGULATION,,,,
2020-07-15,SFY21 RENT 8-7,SPINK COUNTY AUDITOR,12055020,02,2021-06-25,413938,276.11,19.0,HUMAN SERVICES,,,,
2021-06-20,M1210341,WILMOT SCHOOL DISTRICT NO 54-7,12055800,01,2021-06-25,M671613,80731.0,12.0,EDUCATION,,,,
2021-01-14,SFY21 RENT 2-7,VERMILLION AREA CHAMBER & DEV,12526794,,2021-06-25,564223,199.2,9.0,HEALTH,,,,
2021-06-20,M1210341,IROQUOIS SCHOOL DISTRICT 2-3,12055629,01,2021-06-25,M671613,20560.0,12.0,EDUCATION,,,,
2021-06-18,JUL21 RENT DL,OGLALA OYATE WOITANCAN EMPOWER,12259963,,2021-06-25,670130,912.68,14.0,PUBLIC SAFETY,,,,
2020-10-15,SFY21 RENT 11-07,STATE PARTNERS LLC,12391144,,2021-06-25,492781,14796.34,19.0,HUMAN SERVICES,,,,
2021-06-10,7275124537,MCKESSON CORPORATION,12125822,,2021-06-25,671184,142.67,17.0,VETERANS' AFFAIRS,,,,
2021-06-20,M1210341,BON HOMME SCHOOL DISTRICT 4-2,12032804,02,2021-06-25,M671613,161366.0,12.0,EDUCATION,,,,
2021-06-20,M1210341,WEBSTER AREA SCHOOL DIST 18-5,12239846,,2021-06-25,M671613,87967.0,12.0,EDUCATION,,,,
2021-05-20,SFY21 RENT 06-07,"ENDRES, LAWRENCE",12082477,,2021-06-25,646118,1624.21,19.0,HUMAN SERVICES,,,,
2021-06-20,M1210341,ALCESTER-HUDSON SCHOOL,12055874,01,2021-06-25,M671613,119518.0,12.0,EDUCATION,,,,
2021-06-20,M1210341,KADOKA AREA SCHOOL DIST 35-2,12011114,01,2021-06-25,M671613,112212.0,12.0,EDUCATION,,,,
2020-07-15,SFY21 RENT 8-7,SOUTHERN HILLS FUTURE FOUN,12596343,,2021-06-25,413931,2973.74,8.0,SOCIAL SERVICES,,,,
2021-06-20,M1210341,VIBORG-HURLEY SCHOOL DISTRICT6,12331131,,2021-06-25,M671613,111240.0,12.0,EDUCATION,,,,
