document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt,agency_code_x,agency_name_x,agency_code_y,agency_name_y,agency_code,agency_name
2020-10-26,8118800920,EAST DAKOTA TRANSIT INC,12049969,,2020-10-30,,16932.54,11.0,TRANSPORTATION,,,,
2020-10-13,14706349,RESMED CORP,12520767,,2020-10-30,,194.08,9.0,HEALTH,,,,
2020-10-28,M191000006,MEDICINE WHEEL VILLAGE,12581349,,2020-10-30,,750.0,19.0,HUMAN SERVICES,,,,
2020-10-12,C261263525:01,I STATE TRUCK INC,12291406,,2020-10-30,,954.69,11.0,TRANSPORTATION,,,,
2020-10-30,ECBE67A14E,SIOUX EMPIRE UNITED WAY INC,12029979,,2020-10-30,,1565.94,33.0,STATE AUDITOR,,,,
2020-10-28,M191000006,EDGEWOOD PRAIRIE CROSSINGS,12406774,01,2020-10-30,,743.0,19.0,HUMAN SERVICES,,,,
2020-10-30,43F1521387,OAHE YOUNG MENS CHRISTIAN ASSN,12012630,,2020-10-30,,9521.65,33.0,STATE AUDITOR,,,,
2020-10-30,6572B9C027,UNITED WAY - HEARTLAND REGION,12031734,,2020-10-30,,30.0,33.0,STATE AUDITOR,,,,
2020-10-26,M021BTR007,HAZEL-TOWN OF,12031140,,2020-10-30,,1872.74,2.0,REVENUE,,,,
2020-10-26,M021BTR007,IPSWICH CITY OF,12054693,,2020-10-30,,55203.71,2.0,REVENUE,,,,
2020-09-30,NH1STMTSEP,STURDEVANTS - CANTON INC,12047102,,2020-10-30,,247.0,6.0,"GAME, FISH AND PARKS",,,,
2020-10-30,8CCE6201ED,CAPITAL AREA UNITED WAY,12042059,,2020-10-30,,2434.45,33.0,STATE AUDITOR,,,,
2020-10-26,HS-2020-00277,CITY OF GROTON,12054599,,2020-10-30,,828.15,14.0,PUBLIC SAFETY,,,,
2020-10-23,21SC191009 SEP,HUMAN SERVICE AGENCY,12031085,,2020-10-30,,4274.31,19.0,HUMAN SERVICES,,,,
2020-10-26,M021BTR007,HECLA-CITY OF,12054621,01,2020-10-30,,3892.27,2.0,REVENUE,,,,
2020-10-26,M021BTR007,HURON - CITY OF,12054683,,2020-10-30,,587389.82,2.0,REVENUE,,,,
2020-10-30,7DFC8497B8,DISCOVERY BENEFITS INC,12489896,,2020-10-30,,328707.9,33.0,STATE AUDITOR,,,,
2020-10-26,014I11018,"MOUTSOGLOU, JOYCE",12637550,,2020-10-30,,242.07,14.0,BUREAU OF HUMAN RESOURCES,,,,
2020-10-14,INV8059470,MARCO TECHNOLOGIES LLC,12201534,,2020-10-30,,122.63,10.0,LABOR AND REGULATION,,,,
2020-07-08,23592,BUMP INC,12051807,,2020-10-30,,399.15,10.0,LABOR AND REGULATION,,,,
2020-10-26,M021BTR007,HUMBOLDT-TOWN OF,12056053,,2020-10-30,,19344.64,2.0,REVENUE,,,,
2020-10-26,HS-2020-00125,GETTYSBURG - CITY OF,12054582,,2020-10-30,,505.09,14.0,PUBLIC SAFETY,,,,
2020-10-26,8118780620,CITY OF ABERDEEN,12054223,12,2020-10-30,,55190.84,11.0,TRANSPORTATION,,,,
2020-10-15,11483067,FORCE AMERICA DISTRIBUTING LLC,12544499,,2020-10-30,,877.58,11.0,TRANSPORTATION,,,,
2020-10-19,9307951430,LAWSON PRODUCTS INC,12223515,,2020-10-30,,342.81,11.0,TRANSPORTATION,,,,
2020-10-19,8118920420,MITCHELL CITY OF,12054862,03,2020-10-30,,58787.79,11.0,TRANSPORTATION,,,,
2020-10-28,M191000006,ROSHOLT COUNTRY INN LLC,12008839,,2020-10-30,,385.0,19.0,HUMAN SERVICES,,,,
2020-10-28,M191000006,SANDSTONE SENIOR LIVING INC,12559214,,2020-10-30,,315.0,19.0,HUMAN SERVICES,,,,
2020-10-26,M021BTR007,LABOLT-TOWN OF,12038116,,2020-10-30,,445.98,2.0,REVENUE,,,,
2020-10-14,47141992,MCMASTER-CARR SUPPLY COMPANY,12016786,,2020-10-30,,63.03,11.0,TRANSPORTATION,,,,
2020-10-14,5439454,MONROE TRUCK EQUIPMENT INC,12404752,,2020-10-30,,275.96,11.0,TRANSPORTATION,,,,
2020-10-28,M191000006,STRAND KJORSVIG COMMUNITY REST,12030394,,2020-10-30,,711.0,19.0,HUMAN SERVICES,,,,
2020-10-16,19101980111592,MIDCONTINENT COMMUNICATIONS,12023782,04,2020-10-30,,216.5,29.0,ATTORNEY GENERAL,,,,
2020-10-16,705128422,NORTHERN STATES POWER COMPANY,12023853,,2020-10-30,,696.08,29.0,ATTORNEY GENERAL,,,,
2020-09-08,0908,LEGACY CARPET SERVICE INC,12628672,,2020-10-30,,436.76,6.0,"GAME, FISH AND PARKS",,,,
2020-10-26,M021BTR007,TOWN OF KEYSTONE,12033174,,2020-10-30,,154145.63,2.0,REVENUE,,,,
2020-10-24,06HT-30,PRAHM CONSTRUCTION INC,12505751,,2020-10-30,,82272.32,11.0,TRANSPORTATION,,,,
2020-10-28,M061JT133,"PRESZLER, STEVEN",12302979,,2020-10-30,,884.07,6.0,"GAME, FISH AND PARKS",,,,
2020-10-28,M191000006,VONDISH LLC,12524439,,2020-10-30,,384.0,19.0,HUMAN SERVICES,,,,
2020-10-19,INV-71236A,ALL-AROUND INC,12124293,,2020-10-30,,6.5,11.0,TRANSPORTATION,,,,
2020-10-28,M191000006,DAKOTA SUN ASSISTED LIVING II,12602256,,2020-10-30,,456.0,19.0,HUMAN SERVICES,,,,
2020-10-28,M191000006,MOBRIDGE REGIONAL HOSPITAL,12030488,,2020-10-30,,382.0,19.0,HUMAN SERVICES,,,,
2020-08-10,1912903019650,TRI-STATE POWER SOLUTIONS INC,12236707,,2020-10-30,,128.94,12.0,BUREAU OF ADMINISTRATION,,,,
2020-10-14,P7492351,RDO FINANCIAL SERVICES CO,12124884,,2020-10-30,,1821.8,11.0,TRANSPORTATION,,,,
2020-10-27,1020CON210112,"SCHUURMANS, BERNARD V",12300583,,2020-10-30,,9715.97,9.0,HEALTH,,,,
2020-10-05,EST 1 2014315,SIMON CONTRACTORS OF SD INC,12047408,,2020-10-30,,85684.7,6.0,"GAME, FISH AND PARKS",,,,
2020-10-30,M01CRFLG20201030,"ARLINGTON, CITY OF",12054255,CV,2020-10-30,,2637.37,11.0,BUREAU OF FINANCE & MANAGEMENT,,,,
2020-10-30,5B05D2B49C,AFLAC,12115184,,2020-10-30,,45.0,33.0,STATE AUDITOR,,,,
2020-10-05,UG1STMTSEP,CLAY RURAL WATER SYSTEM INC,12034087,,2020-10-30,,138.7,6.0,"GAME, FISH AND PARKS",,,,
2020-10-14,6812612,DAKOTA FLUID POWER INC,12044237,,2020-10-30,,192.98,11.0,TRANSPORTATION,,,,
2020-10-27,0920CON210343,EMORY UNIVERSITY-GRANTS & CONT,12115181,,2020-10-30,,18332.73,9.0,HEALTH,,,,
2020-10-27,1020CON210118,MEWS SERVICES INC,12043927,,2020-10-30,,545.67,9.0,HEALTH,,,,
2020-08-10,202866644,GRAHAM TIRE NORTH,12029595,02,2020-10-30,,195.86,12.0,BUREAU OF ADMINISTRATION,,,,
2020-10-28,M191000006,JONS FAMILY INC,12048849,,2020-10-30,,90.0,19.0,HUMAN SERVICES,,,,
2020-10-28,M191000006,JUDYS ASSISTED LIVING CENTER,12117476,,2020-10-30,,1155.0,19.0,HUMAN SERVICES,,,,
2020-10-28,M191000006,LEISURE LIVING INC,12047200,,2020-10-30,,315.0,19.0,HUMAN SERVICES,,,,
2020-10-28,M191000006,MBK INC,12300688,,2020-10-30,,743.0,19.0,HUMAN SERVICES,,,,
2020-10-02,345281,BECK MOTORS INC,12032416,,2020-10-30,,74.5,12.0,BUREAU OF ADMINISTRATION,,,,
2020-10-02,46528527,MCMASTER-CARR SUPPLY COMPANY,12016786,,2020-10-30,,425.26,18.0,CORRECTIONS,,,,
2020-10-21,9897129,COLE PAPERS INC,12027125,,2020-10-30,,42.17,19.0,HUMAN SERVICES,,,,
2020-10-23,21SC191045 SEP,HUMAN SERVICE AGENCY,12031085,02,2020-10-30,,1471.28,19.0,HUMAN SERVICES,,,,
2020-10-19,6530452827,AUTOZONE INC,12578400,,2020-10-30,,16.23,11.0,TRANSPORTATION,,,,
2020-10-22,C012,HURON NEWSPAPERS LLC,12018176,,2020-10-30,,185.38,320.0,STATE TREASURER,,,,
2020-10-07,60272660100,GROWMARK INC,12018538,,2020-10-30,,118.26,11.0,TRANSPORTATION,,,,
2020-10-08,2553444710820,NORTHWESTERN ENERGY,12028962,15,2020-10-30,,28.24,11.0,TRANSPORTATION,,,,
